a|adv.m.|pues
a|fon.|"(<i>fonema vocálico abierto bajo central del idioma quechua</i>); (<i>vocal abierta, baja central</i>); (<i>vocal abierta, central y la de mayor frecuencia</i>)"
a!; aa!|interj.|¡oh!; ¡si!
a-ari|adv.m.|claro
abahiñu|s.(<i>esp</i>)|papa morada pelada
abas|s.(<i>bot</i>)(<i>esp</i>)|haba; habas
abas kuta; abas hak'u|s.(<i>p.esp</i>)|harina de habas
abaspa tuktun|s.(<i>p.esp</i>)|flor de haba; tejido que se parece a la flor de haba
abiha|s.(<i>zoo</i>)(<i>esp</i>)|abeja
abiyay|v.tr.(<i>esp</i>)|aviar; dar a alguien lo necesario para un viaje
abiyu|s.(<i>esp</i>)|avío; comida fría
abril|s.(<i>mes</i>)(<i>esp</i>)|abril
abugadu|s.(<i>esp</i>)|abogado
abunu|s.(<i>agr</i>)(<i>esp</i>)|abono
abusay|v.tr.(<i>esp</i>)|abusar; violar (<i>sexual</i>)
abuta|s.(<i>bot</i>)(<i>amz</i>)|"abuta; barbasco; especie de planta medicinal, usos principales: calentura, iabetes, malaria, espasmos menstruales, úlceras, analgético, analgético dental etc."
achá|adv.afirm.|seguramente (<i>en la respuesta</i>); posiblemente (<i>en la respuesta</i>); ciertamente
achachachinakuy|v.recip.|darse calor; calentarse
achachachiy|v.tr.|calentar; dar calor
achachakuy|v.pron.(<i>enfat.</i>)|sentir calor; hacer calor
Achachallawya!|interj.|¡Qué terrible!; ¡Qué horrible!
Achachaw!|interj.|¡Qué lástima!; ¡Qué sorpresa!; ¡ah...!; ¡Qué será!
Achachaw!|interj.(<i>d1</i>)|¡Qué calor!; ¡qué caliente!
Achachaw!|interj.(<i>d2</i>)|¡Qué dolor!; [ante la sensación de algo punzante]
Achachay!|interj.(<i>d1</i>)|¡Qué frío!; [frío]
Achachay!|interj.(<i>d2</i>)|¡Qué horrificante!; ¡Qué miedo!; ¡Qué espanto!; ¡Qué susto!
achachay|s.|algo que da miedo
achachi|s.(<i>aym</i>)|anciano
achachilla|s.|maravilla; milagro
achakana|s.(<i>bot</i>)|planta de las familias de los cactus; (<i>raiz comestible</i>)
Achakaw!|interj.|¡Qué dolor!; Qué desagrado!; [exclamación de dolor]
achakawka|s.(<i>zoo</i>)|zarigüeya; muca; marsupial americano
achakay!|interj.|¡qué miedo!
achaki|s.(<i>l.esp</i>)|achaque; pretexto; motivo
achakita churay|v.intr.(<i>p.l.esp</i>)|invocar un pretexto
achakiy|v.intr.(<i>p.l.esp</i>)|decir lo uno y hacer lo otro
achaku|s.(<i>zoo</i>)|zarigüeya; muca; marsupial americano
achala|s.|adorno
achalachiy|v.tr.|adornar
achalakuy|v.intr.|adornarse
achalasqa|p.p.p.|adornado
Achalaw!|interj.|¡Qué bonito!; ¡Qué lindo!; ¡Qué deseable!; ¡Qué rico!; [exclamación de alegría]
achalayki|s.|lujo; suntuosidad
achanqaray|s.(<i>bot</i>)|begonia; especie de planta herbácea (<i>su raíz cura la terciana</i>); achanccaray; planta usada para teñir de rojo
achaqay|v.tr.|morder
achari|adv.afirm.|seguramente (<i>en la respuesta</i>); posiblemente (<i>en la respuesta</i>); ciertamente; seguramente
achay|s.|calor; rayo solar
achay|s.|eso (<i>enfático</i>)
achay|v.impers.|hacer calor
achay|v.tr.|romper o abrir un huevo; rajar un huevo
achi|adv.afirm.|seguramente; posiblemente
achik|adj.|claro; luminoso; limpio
achik|s.|luz; claridad; resplandor
achikachikuq|s.|linterna; lámpara
achikay|v.tr.|rogar; solicitar
achikinbiha|s.(<i>esp</i>)|bruja
achiklla|adj.|limpio
achikyachiy|v.tr.|aclarar; alumbrar
achikyakuy|v.intr.|alumbrarse
achikyaq|s.|luz
achikyay|s.|amanecer
achikyay|v.impers.|alborear; amanecer; despejarse la atmósfera; aclararse la oscuridad; despejarse
achikyay|v.intr.|lucir; brillar; iluminar; despejarse; aclararse; relucir; resplandecer
achikyay|v.tr.|iluminar; alumbrar
Achil|s.(<i>mit</i>)(<i>ecu</i>)|nombre prekichwa de dios
Achil Tayta|s.(<i>mit</i>)(<i>ecu</i>)|Padre Atsil (<i>dios</i>)
Achil Yaya|s.(<i>mit</i>)(<i>ecu</i>)|Padre Atsil (<i>dios</i>)
achi mama|s.(<i>fam</i>)|madrina; madrina de bautizo
achipsa|s.|tallo delgado y seco bueno como mecha
achira|s.(<i>bot</i>)|planta de hojas anchas y flores amarillas; planta ornamental de la familia de as cannáceas; su raiz se utiliza en la alimentación; achira (<i>planta cannácea cuyas hojas sirven para envolver tamales y humitas</i>); achira; planta cuya semilla se usa para teñir de rojo
achis|s.(<i>bot</i>)|ajonjolí; sésamo (<i>planta parecida a la quinua</i>)
achita|s.(<i>bot</i>)|quihuicha; especie de amaranto
achi tayta|s.|padrino; padrino de bautizo
achiusa|s.(<i>onom</i>)|estornudo
achiusay|v.intr.(<i>onom</i>)|estornudar
achiwa|s.|parasol pequeño; parasol; toldo
achiwa-achiwa|s.(<i>bot</i>)|especie de arbusto cuyas hojas se usan para teñir azul
achi wawa|s.(<i>fam</i>)|ahijado; ahijado; ahijada
achiwiti|s.(<i>bot</i>)|achiote; achote; bija; especie de arbolillo; árbol de la familia de las bináceas posee propiedades tintoreas que se utilizan en la comida; especie de lanta (<i>su semilla roja es usada como colorante para comidas y teñidos</i>); achiote; planta cuya semilla se usa para teñir de rojo; achiote - rbusto cuyo fruto es usado como colorante en las comidas. en la edicina popular cura el mal llamado pián (<i>cuchipe</i>)
achiy|v.tr.|disfrutar de; gozar de
achiy|v.tr.(<i>d2</i>)|atizar; atizar el fuego
achiyá|adv.afirm.|sí pues; seguramente; posiblemente; muy probable
achiyari|adv.afirm.|posiblemente; no hay duda
achiyay|v.intr.|estornudar
achi yaya|s.(<i>fam</i>)|padrino
achka|adj.|mucho; mucha; muchos; muchas; harto; bastante; abundante; harto; mucho; arios; demasiado; bastante; mucho; bastante; gran cantidad; cuantioso; umeroso
achkachay|v.intr.|abundar
achkachay|v.tr.|aumentar
achkam|expr.|lo más
achkanyay hayñikuna|s.|derechos colectivos
achka qullqipaq rantisqa ñin|expr.|dice que ha comprado por mucha plata
achka qullqipi qhaturiq|adj.|caro
achka qullqi waliq|adj.|caro
achka runa|s.|muchedumbre; gentía
achkash|s.(<i>zoo</i>)|cordero; corderito
achkata|adv.m.|mucho
achka tiyay|v.intr.|abundar
achka t'asla|s.(<i>mat</i>)|poliedro
achka uya|s.(<i>mat</i>)|poliedro
Achkay|s.(<i>mit</i>)|Achicay; anciana devoradora de niños que personifica el mal; mujer mala y evoradora de niños; mujer mala que no sabe ayudar a los pobres; spíritu antiguo maligno que devora seres humanos
achkayachiq|s.|que hace aumentar
achkayachiy|v.tr.|acrecentar; aumentar; multiplicar
achkayay|v.intr.|acrecentarse; aumentarse; multiplicarse; crecer; ensancharse
achki|s.|luz; claridad; resplandor
achkikuq|s.|lámpara; linterna
achkina|s.|linterna; candil; algo que alumbra
achkiy|v.tr.|alumbrar; iluminar
achku|s.|leña muy menuda
achkukuy|v.tr.|agarrar algo para uno mismo; adueñarse
achkuy|v.tr.|agarrar; atrapar; cazar junto sin matar
achkuy|v.tr.(<i>d2</i>)|raspar; escarbar
achmikuq|s.|azada (<i>para cultivar</i>)
achmiy|v.tr.|aporcar la primera vez
achpay|v.mov.|trepar; subir agarrándose
achpaykachay|v.mov.|subir cayéndose; jugar trepándose
achqay|v.tr.|aporcar la primera vez
achu|s.|paja; astilla; leña menuda
achucha|s.(<i>tex</i>)|motivo pallay en tejidos (<i>significado no claro</i>)
achuchiy|v.tr.|hacer llevar con la boca
achukay|v.tr.|manar (<i>líquido</i>)
achuma qhiwillu|s.|especie de cactus
achuni|s.(<i>zoo</i>)|"nasua sudamericana; achuni; achuni - pequeño cuadrúpedo rojizo, con el pene siempre erecto"
achuni sananku|s.(<i>bot</i>)|achuni-sanango; especie de planta medicinal de la selva
achuni ullu|s.(<i>zoo</i>)|"pene de achuni (<i>según la creencia popular, el pene del achuni usado para hacer pusanga y para tomarlo raspado en aguardiente como afrodisíaco</i>)"
achupalla|s.(<i>bot</i>)|piña del monte; achupa; achupalla (<i>planta silvestre y espinosa como la piña</i>); planta semejante al magüey de la suni alta
achuqalla|s.(<i>tex</i>)|"bolsa (<i>larga y estrecha, con franjas, adornada</i>)"
achuqalla|s.(<i>zoo</i>)|comadreja
